filter, lambda_eff (um), Solar flux density (erg s-1 cm-2 um-1)
brgamma   , 2.15664325845, 87557.6495682
feii      , 1.64755544604, 223565.094687
h         , 1.62068274317, 246125.423996
hcont     , 1.58419036132, 250429.116639
j         , 1.24639078938, 448741.762904
k         , 2.19074477016, 83433.5486692
kcont     , 2.28540852759, 70709.3980459
kp        , 2.12145324056, 95210.9824577
ks        , 2.13230622077, 91031.6184438
lp        , 3.77663165123, 11405.2184778
ms        , 4.6694320376, 4334.49865783
pah       , 3.3245429366, 17387.7814054
br_alpha  , 4.0741298746, 7552.23673027
bra_cont  , 4.00564002359, 8469.29031768
h2o_ice   , 3.09276817551, 23032.2279841
ch4_short , 1.61146496182, 241963.620688
pabeta    , 1.29400267969, 414718.313143
he1_a     , 1.09102854267, 596789.170006
